Продукт,Новая цена,Старая цена,Процент скидки
"Шпроты ВКУСНЫЕ КОНСЕРВЫ в масле (Балт Ост), 160г",89.99,139.99,-36%
ПЕРСИЛ Капсулы д/стирки Колор 10 шт(ЛАБ Инд):8,249.99,499.99,-50%
"Масло подсолнечное ОЛЕЙНА, рафинированное, дезодорированное, 1л",107.99,139.99,-23%
"КРЕВЕТКИ СЕВЕРНЫЕ варено-мороженые в панцире, 1кг",549.99,739.99,-26%
"Квас РУССКИЙ ДАР, 2л ",99.99,,
"ДОБРЫЙ Напиток Кола б/а с/г пл/б 1,5л пл/бут(Мултон):9",119.99,158.99,-25%
БРЕФ Блок д/унитаза Лимон/Океан 4штx50г(ЛАБ Инд) :9,299.99,625.19,-52%
RICHARD Royal Ceylon Чай черный 100пак 200г к/уп(Май):6,249.99,463.29,-46%
NUTS МегаBITEY Батончик с лесн орехом 66г(Нестле):24,49.99,81.89,-39%
NESCAFE Gold Aroma Intenso Кофе сублимир 170г ст/бан:6,449.99,1009.99,-55%
HEINZ Кетчуп томатный 320г д/п (Петропродукт):16,89.99,159.99,-44%
FELIX Аппетитные Кусоч д/кош курица 75г(Нестле):26,19.99,29.99,-33%
"ЮБИЛЕЙНОЕ Печенье традиционное витаминизированное, 403г",,,
"Энергетический напиток GORILLA Peach Apricot сильногазированный, 0,45л",,,
ШПИНАТ мини 75г,,,
"Шоколадный батончик ТВИКС, 82г",,,
Шоколадный батончик TWIX X'tra Солёная карамель 82г,,,
Шоколадный батончик GOODMIX с хрустящей вафлей 29г,,,
"Шоколадный батончик GOODMIX солёная карамель/хрустящая вафля, 44г",,,
"Шоколадный батончик GOODMIX соленый арахис/хрустящая вафля, 46г",,,
"Шоколад МИЛКА, с цельным фундуком, 90г",,,
"Шоколад МИЛКА, с фундуком, 90г",,,
"Шоколад МИЛКА, с карамельной начинкой, 90г",,,
"Шоколад МИЛКА, Молочный, 90г",,,
"Чебупели ГОРЯЧАЯ ШТУЧКА, с мясом, 300г",,,
"Чай черный ГРИНФИЛД, Эрл Грей Фантазия с бергамотом, 100г",,,
"Чай черный ГРИНФИЛД, Голден Цейлон, 100г",,,
Фасоль печеная ПИКАНТА в томатном соусе 470г,,,
"Торт ТВОРОЖНЫЙ бисквитный (СП ГМ), 1кг",,,
Торт бисквитный Творожный 1кг ,,,
"Томатная паста ПОМИДОРКА, 270г",,,
"Тампоны ОЛА, супер, 8 шт",,,
"Тампоны ОЛА, нормал, 8 шт",,,
